timestamp,epoch,loss_d,loss_g
2026-04-23 14:34:34.074060,5,-18.7646,29.6176
2026-04-23 14:35:30.560664,10,-21.9515,35.3608
2026-04-23 14:36:27.982403,15,-56.5290,25.6003
2026-04-23 14:37:25.390770,20,-107.1939,172.4032
2026-04-23 14:38:22.439867,25,-97.1651,271.1098
2026-04-23 14:39:19.630656,30,-249.6441,446.9611
2026-04-23 14:40:16.869852,35,-367.8891,316.7087
2026-04-23 14:41:14.175254,40,-353.6661,558.1364
2026-04-23 14:42:11.691950,45,-377.7525,794.8391
2026-04-23 14:43:09.357487,50,-265.6091,599.5614
2026-04-23 14:44:07.114162,55,-925.1526,966.2460
2026-04-23 14:45:04.674264,60,-1038.1896,1311.6703
2026-04-23 14:46:02.134147,65,-1392.2545,1837.1405
2026-04-23 14:46:59.327975,70,-2463.1943,1491.4309
2026-04-23 14:47:56.653040,75,-1680.0547,2024.2689
2026-04-23 14:48:54.397625,80,-1305.5393,2253.6455
2026-04-23 14:49:52.178613,85,-2175.2048,2992.9062
2026-04-23 14:50:49.698216,90,-2627.3469,1551.0575
2026-04-23 14:51:47.211789,95,-3141.4238,3668.7542
2026-04-23 14:52:44.708573,100,-2644.2412,3096.0312
2026-04-23 14:53:42.165841,105,-4431.0098,3915.9009
2026-04-23 14:54:39.681771,110,-4336.9463,1684.7825
2026-04-23 14:55:37.139835,115,-4836.9146,5031.1133
2026-04-23 14:56:34.591656,120,-4015.2310,5536.1064
2026-04-23 14:57:32.013790,125,-6621.3262,2891.2722
2026-04-23 14:58:29.388321,130,-1793.6738,4675.0557
2026-04-23 14:59:26.688902,135,-8255.6465,7301.4658
2026-04-23 15:00:23.964556,140,-5309.0254,6737.0576
2026-04-23 15:01:21.251120,145,-7686.8789,8356.3838
2026-04-23 15:02:18.531359,150,-3317.0793,6439.1396
2026-04-23 15:03:15.791522,155,-5739.0464,9331.6016
2026-04-23 15:04:13.163329,160,-6242.0488,9386.5693
2026-04-23 15:05:10.495311,165,-8399.7744,9435.6094
2026-04-23 15:06:07.676518,170,-9996.7988,11489.6475
2026-04-23 15:07:05.544261,175,-6560.7744,7935.7168
2026-04-23 15:08:02.783049,180,-8744.5684,11620.4971
2026-04-23 15:09:00.323223,185,-1132.0410,10855.7109
2026-04-23 15:09:57.932950,190,-7613.5684,8643.6270
2026-04-23 15:10:55.531737,195,-10595.5371,14410.4629
2026-04-23 15:11:53.052236,200,-16669.7598,15078.2812
2026-04-23 15:12:50.575271,205,-18014.7773,15780.0518
2026-04-24 16:14:45.166443,10,-7.9385,9.9289
2026-04-24 16:16:39.521669,20,-115.4194,110.5426
2026-04-24 16:18:33.307762,30,-333.5345,439.2596
2026-04-24 16:20:27.297066,40,-645.7683,839.6022
2026-04-24 16:22:21.267580,50,-1065.9595,1299.5911
2026-04-24 16:24:14.798470,60,-1419.3223,945.0761
2026-04-24 16:26:08.103232,70,-1154.2112,987.2792
2026-04-24 16:28:01.407539,80,-1933.3427,1069.4744
2026-04-24 16:29:54.912050,90,-1698.9380,2291.3906
2026-04-24 16:31:48.468926,100,-2941.7803,4198.8838
2026-04-24 16:33:41.644456,110,-5573.1274,5115.3481
2026-04-24 16:35:35.559506,120,-5849.9424,5812.1396
2026-04-24 16:37:29.109742,130,-8453.1094,6613.3267
2026-04-24 16:39:23.219497,140,-6115.1670,4723.7598
2026-04-24 16:41:17.045291,150,-11394.6875,9440.1250
2026-04-24 16:43:10.751956,160,-6011.1089,7476.9448
2026-04-24 16:45:04.322288,170,-11491.6201,12165.4111
2026-04-24 16:46:57.913598,180,-10303.1592,9862.1816
2026-04-24 16:48:51.386138,190,-16585.0410,13420.4824
2026-04-24 16:50:44.875675,200,-11067.2988,14838.9775
2026-04-24 16:52:38.581238,210,-14293.2451,12784.0117
2026-04-24 16:54:32.501117,220,-18335.9297,19861.0156
2026-04-24 16:56:26.262939,230,-23393.4395,21032.9570
2026-04-24 16:58:19.931010,240,-24024.2617,21692.7207
2026-04-24 17:00:13.842603,250,-22278.1582,23719.5547
2026-04-24 17:02:07.507194,260,-27884.4219,25785.7305
2026-04-24 17:04:01.148131,270,-25501.3340,26431.1582
2026-04-24 17:05:54.503211,280,-24298.0996,25221.7480
2026-04-24 18:41:35.058655,240,-49246.3164,34234.0898
2026-04-24 18:43:29.333770,250,-49333.0664,35722.3789
2026-04-24 18:45:23.054516,260,-32648.6055,36126.1641
2026-04-24 18:47:16.953082,270,-40562.5938,37592.3203
2026-04-24 18:49:10.864136,280,-51965.6328,44110.9844
2026-04-24 18:51:05.103459,290,-54158.7070,39381.2500
2026-04-24 18:52:59.070254,300,-63056.7383,42872.6172
2026-04-24 18:54:52.948966,310,-40945.6484,48469.4062
2026-04-24 18:56:46.842639,320,-59627.0898,47216.1055
2026-04-24 18:58:40.815719,330,-81448.0625,54722.4727
2026-04-24 19:00:34.864278,340,-87556.7109,55084.0703
2026-04-24 19:02:29.066367,350,-97058.8594,62279.1406
2026-04-24 19:04:23.252042,360,-58339.1367,46851.4766
2026-04-24 19:06:17.852782,370,-104499.2109,67821.2422
2026-04-24 19:08:11.755515,380,-69428.9844,53396.3750
2026-04-24 19:10:05.574486,390,-88602.7969,64400.4844
2026-04-24 19:11:59.949446,400,-105126.8594,73866.0078
2026-04-24 19:13:53.982323,410,-70414.5391,66469.4062
2026-04-24 19:15:48.020473,420,-98141.0703,71129.9062
2026-04-24 19:17:41.474192,430,-86344.5156,88920.6406
2026-04-24 19:19:34.900895,440,-84246.6016,66970.3750
2026-04-24 19:21:28.788268,450,-121144.0469,92895.2422
2026-04-24 19:23:22.499629,460,-145913.9375,98848.1953
2026-04-24 19:25:16.770642,470,-109790.4062,90429.7500
2026-04-24 19:27:10.616316,480,-96094.0156,88934.1719
2026-04-24 19:29:04.649202,490,-194774.3438,112221.1328
2026-04-24 19:30:58.972865,500,-178105.4375,114644.2031
2026-04-24 19:32:53.105329,510,-145545.3281,97147.0859
2026-04-24 19:34:47.190484,520,-176437.9531,112870.2656
2026-04-24 19:36:41.185093,530,-158540.8906,117968.3438
2026-04-24 19:38:35.646127,540,-188238.3438,122986.8125
2026-04-24 19:40:29.792051,550,-213055.8750,133961.4688
2026-04-24 19:42:23.576204,560,-191542.5625,143864.1250
2026-04-24 19:44:17.201415,570,-199784.2188,146071.9844
2026-04-24 19:46:10.723709,580,-185754.3750,156232.3906
2026-04-24 19:48:04.295462,590,-194152.3125,120013.2812
2026-04-24 19:49:57.819045,600,-219472.7500,157340.0625
2026-04-24 19:51:51.743835,610,-218840.9531,142369.6250
2026-04-24 19:53:45.947626,620,-270905.8125,162953.8750
2026-04-24 19:55:40.132377,630,-207005.1250,177881.8438
2026-04-24 19:57:33.819008,640,-273204.8750,175033.2188
2026-04-24 21:15:37.283314,650,-304655.7500,185251.1562
2026-04-24 21:17:32.829496,660,-270662.0000,181818.4531
2026-04-24 21:19:26.413127,670,-274438.7812,178404.5938
2026-04-24 21:21:20.543337,680,-315855.3750,195168.4844
2026-04-24 21:23:15.309666,690,-285877.2812,209875.0312
2026-04-24 21:25:09.777619,700,-279596.4375,199176.0625
2026-04-24 21:27:04.445501,710,-329566.3438,211571.0938
2026-04-24 21:28:58.873900,720,-284642.2500,222640.8906
2026-04-24 21:30:53.423000,730,-321957.6875,228911.1562
2026-04-24 21:32:48.277917,740,-311696.7188,213837.5312
2026-04-24 21:34:42.961115,750,-376745.3125,236852.2031
2026-04-24 21:36:37.545852,760,-395155.5312,249416.7188
2026-04-24 21:38:31.956199,770,-315270.6250,204928.1250
2026-04-24 21:40:26.529714,780,-391025.3438,241522.2500
2026-04-24 21:42:20.664236,790,-479483.7812,276366.3750
2026-04-24 21:44:15.020264,800,-366964.1250,261058.9688
2026-04-24 21:46:09.530821,810,-397390.7500,264222.2812
2026-04-24 22:15:22.221829,820,-441519.5625,275273.2188
2026-04-24 22:17:14.939811,830,-450934.1250,285332.6250
2026-04-24 22:19:07.045120,840,-473676.1562,290467.4375
2026-04-24 22:20:59.206124,850,-433692.7812,288372.6875
2026-04-24 22:22:51.206991,860,-505068.0000,307934.0000
2026-04-24 22:24:43.136163,870,-530863.6250,322123.5000
2026-04-24 22:26:35.125871,880,-522892.5625,324264.8750
2026-04-24 22:28:27.093316,890,-445787.4688,294542.2500
2026-04-24 22:30:19.105134,900,-522846.9375,340709.5312
2026-04-24 22:32:11.764985,910,-475806.0312,295272.0938
2026-04-24 22:34:03.959063,920,-560474.1875,337461.2188
2026-04-24 22:35:56.055247,930,-581557.3750,365846.6250
2026-04-24 22:37:48.264565,940,-670245.1875,384586.6562
2026-04-24 22:39:40.630901,950,-514193.1250,349455.0938
2026-04-24 22:41:32.842923,960,-570475.2500,389574.6875
2026-04-24 22:43:25.042654,970,-547793.0625,384854.7500
2026-04-24 22:45:17.026898,980,-612540.8750,410370.1250
2026-04-24 22:47:10.675432,990,-700209.8125,415031.5000
2026-04-24 22:49:02.974897,1000,-573975.0000,372667.9688
2026-04-24 22:50:54.750085,1010,-704275.5625,408755.3438
2026-04-24 22:52:46.978495,1020,-754676.0000,440882.7188
2026-04-24 22:54:39.111429,1030,-646558.7500,437851.7188
2026-04-24 22:56:31.201326,1040,-744537.8750,461264.6875
2026-04-24 22:58:23.260973,1050,-723712.5000,454643.0625
2026-04-24 23:00:15.331359,1060,-693585.5000,462457.0938
2026-04-24 23:02:07.423446,1070,-807149.5000,474496.1875
2026-04-24 23:03:59.561496,1080,-777857.5625,463987.1250
2026-04-24 23:05:51.911628,1090,-749591.7500,492241.4688
2026-04-24 23:07:44.593780,1100,-809879.3750,501711.4062
2026-04-24 23:09:36.945804,1110,-819437.7500,515405.5625
2026-04-24 23:11:29.219805,1120,-885732.5625,510218.4375
2026-04-24 23:13:21.449422,1130,-918428.3125,537539.0000
2026-04-24 23:15:13.684174,1140,-922746.1250,521189.8750
2026-04-24 23:17:05.843596,1150,-790888.7500,480406.0000
2026-04-24 23:18:57.984033,1160,-962067.6250,555520.0000
2026-04-24 23:20:50.144548,1170,-932888.7500,527033.6250
2026-04-24 23:22:42.248205,1180,-937608.2500,565682.8750
2026-04-24 23:24:34.309157,1190,-1021456.5000,584780.3750
2026-04-24 23:26:26.956273,1200,-925071.7500,559413.7500
2026-04-24 23:28:19.278581,1210,-916315.1250,602172.6250
2026-04-24 23:30:11.179211,1220,-976294.0625,592565.2500
2026-04-24 23:32:03.502098,1230,-1137944.7500,640883.1875
2026-04-24 23:33:55.556524,1240,-956712.3750,584109.0625
2026-04-26 09:33:15.029768,1280,-9.9129,671197.6250
2026-04-26 09:41:54.698770,1290,-0.1656,670500.8125
2026-04-26 09:50:33.864300,1300,-9.9863,669786.6875
